country_code,gcld3_code
AF,ps
AL,it
DZ,fr
AD,ca
AO,pt
AR,es
AM,hy
AT,de
BH,ar
BJ,fr
BR,pt
BG,bg
BF,fr
BI,sw
KH,km
CF,fr
CL,es
CX,zh
CC,ms
CO,es
CG,fr
CD,fr
CR,es
HR,hr
CU,es
DK,da
DO,es
EG,ar
SV,es
EE,ru
FR,fr
GA,fr
GE,ka
DE,de
GR,el
GT,es
GN,fr
GW,pt
HN,es
HU,hu
ID,id
IR,fa
IE,ga
IL,iw
IT,it
JP,ja
JO,ar
KZ,kk
KP,ko
KR,ko
KW,ar
KG,ky
LA,lo
LV,ru
LB,ar
LY,ar
LI,de
LT,lt
LU,lb
MG,mg
MY,ms
ML,fr
MT,mt
MR,fr
MX,es
MD,ro
MN,mn
MA,ar
MZ,pt
MM,my
NP,ne
NI,es
NE,fr
NO,no
OM,ar
PK,ur
PS,ar
PA,es
PL,pl
PT,pt
QA,ar
RO,ro
RU,ru
SM,it
SA,ar
SN,fr
RS,sr
SG,ms
SK,sk
SO,ar
ES,es
LK,si
SR,nl
SE,sv
SY,ar
TW,zh
TJ,ru
TH,th
TG,fr
TR,tr
TM,ru
UA,uk
AE,ar
UZ,ru
VN,vi
YE,ar
